2025-11-03 23:19:49.977 [info] Starting Python Locator /home/mehdi/.vscode/extensions/ms-python.python-2025.16.0-linux-x64/python-env-tools/bin/pet server
2025-11-03 23:19:50.098 [info] Discovered env: /bin/python
2025-11-03 23:19:50.181 [info] Discovered env: /usr/bin/python
2025-11-03 23:19:50.376 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.14.0.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2025-11-03 23:19:50.381 [info] Discovered env: /usr/sbin/python
2025-11-03 23:19:50.382 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.14.0.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2025-11-03 23:19:50.382 [info] Discovered env: /sbin/python
2025-11-03 23:19:50.383 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.14.0.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-11-03 23:19:50.383 [info] Discovered env: /usr/sbin/python3
2025-11-03 23:19:50.384 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.14.0.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-11-03 23:19:50.384 [info] Discovered env: /sbin/python3
2025-11-03 23:19:50.384 [info] Env ("/usr/sbin/python3.14") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.14", prefix: "/usr", version: "3.14.0.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.14"]) } and reported as Some(GlobalPaths)
2025-11-03 23:19:50.384 [info] Discovered env: /usr/sbin/python3.14
2025-11-03 23:19:50.385 [info] Env ("/sbin/python3.14") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.14", prefix: "/usr", version: "3.14.0.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.14"]) } and reported as Some(GlobalPaths)
2025-11-03 23:19:50.385 [info] Discovered env: /sbin/python3.14
2025-11-03 23:19:50.385 [info] Locator Conda took 89.78605ms
2025-11-03 23:19:50.385 [info] Locator Homebrew took 562.679µs
2025-11-03 23:19:50.385 [info] Locator LinuxGlobal took 107.026931ms
2025-11-03 23:19:50.385 [info] Locator PipEnv took 116.85µs
2025-11-03 23:19:50.385 [info] Locator Pixi took 83.427µs
2025-11-03 23:19:50.385 [info] Locator Poetry took 527.994µs
2025-11-03 23:19:50.385 [info] Locator PyEnv took 3.093202ms
2025-11-03 23:19:50.385 [info] Locator Venv took 89.679µs
2025-11-03 23:19:50.385 [info] Locator VirtualEnv took 47.72µs
2025-11-03 23:19:50.385 [info] Locator VirtualEnvWrapper took 38.703µs
2025-11-03 23:19:50.385 [info] Locator GlobalVirtualEnvs took 211.758µs
2025-11-03 23:19:50.386 [info] Locator Locators took 108.675024ms
2025-11-03 23:19:50.386 [info] Locator Path took 193.654276ms
2025-11-03 23:19:50.386 [info] Locator Workspaces took 10.957605ms
2025-11-03 23:19:50.386 [info] Refresh completed in 193ms
2025-11-03 23:19:50.436 [info] Resolved Python Environment /bin/python
